15:06:51.163 -> Humidity: 23.20 %, Temp: 28.90 Celsius
15:08:01.522 -> Humidity: 23.50 %, Temp: 28.70 Celsius
15:08:03.500 -> Humidity: 23.50 %, Temp: 28.80 Celsius
15:08:05.521 -> Humidity: 23.60 %, Temp: 28.90 Celsius
15:08:07.550 -> Humidity: 23.60 %, Temp: 28.10 Celsius
15:08:09.522 -> Humidity: 23.80 %, Temp: 28.20 Celsius
15:08:11.550 -> Humidity: 23.80 %, Temp: 28.30 Celsius
15:08:13.573 -> Humidity: 23.90 %, Temp: 28.50 Celsius
15:08:15.550 -> Humidity: 22.90 %, Temp: 28.40 Celsius
15:08:17.574 -> Humidity: 22.90 %, Temp: 28.60 Celsius
15:08:19.599 -> Humidity: 22.10 %, Temp: 28.70 Celsius
15:08:21.621 -> Humidity: 22.10 %, Temp: 27.80 Celsius
15:08:23.606 -> Humidity: 23.10 %, Temp: 27.80 Celsius
15:08:25.631 -> Humidity: 24.20 %, Temp: 27.70 Celsius
15:08:27.654 -> Humidity: 23.40 %, Temp: 27.70 Celsius
15:08:29.634 -> Humidity: 23.40 %, Temp: 27.30 Celsius
15:08:31.660 -> Humidity: 22.40 %, Temp: 27.40 Celsius
15:08:33.683 -> Humidity: 23.40 %, Temp: 27.50 Celsius
15:08:35.665 -> Humidity: 24.50 %, Temp: 27.60 Celsius
15:08:37.689 -> Humidity: 22.50 %, Temp: 27.70 Celsius
15:08:39.719 -> Humidity: 23.50 %, Temp: 27.40 Celsius
15:08:41.701 -> Humidity: 23.60 %, Temp: 27.20 Celsius
15:08:43.726 -> Humidity: 23.60 %, Temp: 27.30 Celsius
15:08:45.748 -> Humidity: 23.70 %, Temp: 27.40 Celsius
15:08:47.728 -> Humidity: 23.80 %, Temp: 27.30 Celsius
15:08:49.752 -> Humidity: 23.80 %, Temp: 27.20 Celsius
15:08:51.774 -> Humidity: 23.90 %, Temp: 27.20 Celsius
15:08:53.752 -> Humidity: 23.20 %, Temp: 27.20 Celsius
15:08:55.768 -> Humidity: 24.30 %, Temp: 27.20 Celsius
15:08:57.794 -> Humidity: 24.30 %, Temp: 27.10 Celsius
15:08:59.819 -> Humidity: 24.30 %, Temp: 27.10 Celsius
15:09:01.803 -> Humidity: 24.40 %, Temp: 27.00 Celsius
15:09:03.825 -> Humidity: 24.50 %, Temp: 27.40 Celsius
15:09:05.807 -> Humidity: 26.50 %, Temp: 26.20 Celsius
15:09:07.832 -> Humidity: 23.60 %, Temp: 27.30 Celsius
15:09:09.858 -> Humidity: 22.60 %, Temp: 27.90 Celsius
15:09:11.839 -> Humidity: 23.60 %, Temp: 26.80 Celsius
15:09:13.861 -> Humidity: 24.70 %, Temp: 26.80 Celsius
15:09:15.886 -> Humidity: 25.70 %, Temp: 26.50 Celsius
15:09:17.906 -> Humidity: 24.70 %, Temp: 26.70 Celsius
15:09:19.884 -> Humidity: 25.60 %, Temp: 26.60 Celsius
15:09:21.911 -> Humidity: 25.70 %, Temp: 26.70 Celsius
15:09:23.939 -> Humidity: 26.80 %, Temp: 26.80 Celsius
15:09:25.922 -> Humidity: 25.80 %, Temp: 26.50 Celsius
15:09:27.945 -> Humidity: 23.80 %, Temp: 26.40 Celsius
15:09:29.927 -> Humidity: 22.80 %, Temp: 26.30 Celsius
15:09:31.953 -> Humidity: 22.90 %, Temp: 26.20 Celsius
15:09:33.973 -> Humidity: 22.80 %, Temp: 26.10 Celsius
15:09:35.999 -> Humidity: 22.90 %, Temp: 26.70 Celsius
15:09:37.974 -> Humidity: 23.90 %, Temp: 27.60 Celsius
15:09:39.993 -> Humidity: 23.90 %, Temp: 27.50 Celsius
15:09:42.013 -> Humidity: 23.90 %, Temp: 27.90 Celsius
15:09:44.035 -> Humidity: 23.90 %, Temp: 27.30 Celsius
15:09:46.031 -> Humidity: 23.90 %, Temp: 27.40 Celsius
15:09:48.059 -> Humidity: 23.00 %, Temp: 27.50 Celsius
15:09:50.063 -> Humidity: 24.00 %, Temp: 27.60 Celsius
15:09:52.056 -> Humidity: 25.00 %, Temp: 27.20 Celsius
15:09:54.086 -> Humidity: 25.10 %, Temp: 27.50 Celsius
15:09:56.069 -> Humidity: 25.20 %, Temp: 27.60 Celsius
15:09:58.111 -> Humidity: 25.20 %, Temp: 27.70 Celsius
15:10:00.105 -> Humidity: 25.40 %, Temp: 27.20 Celsius
15:10:02.107 -> Humidity: 25.40 %, Temp: 27.10 Celsius
15:10:04.106 -> Humidity: 25.40 %, Temp: 27.30 Celsius
15:10:06.153 -> Humidity: 25.40 %, Temp: 27.40 Celsius
15:10:08.144 -> Humidity: 26.40 %, Temp: 27.50 Celsius
15:10:10.144 -> Humidity: 26.40 %, Temp: 27.20 Celsius
15:10:12.146 -> Humidity: 26.40 %, Temp: 26.50 Celsius
15:10:14.192 -> Humidity: 24.50 %, Temp: 26.90 Celsius
15:10:16.188 -> Humidity: 25.50 %, Temp: 26.40 Celsius
15:10:18.185 -> Humidity: 26.60 %, Temp: 26.50 Celsius
15:10:20.217 -> Humidity: 25.40 %, Temp: 26.60 Celsius
15:10:22.216 -> Humidity: 25.70 %, Temp: 26.30 Celsius
15:10:24.211 -> Humidity: 25.40 %, Temp: 26.50 Celsius
15:10:26.250 -> Humidity: 25.40 %, Temp: 26.60 Celsius
15:10:28.246 -> Humidity: 27.50 %, Temp: 26.50 Celsius
15:10:30.235 -> Humidity: 25.60 %, Temp: 26.30 Celsius
15:10:32.285 -> Humidity: 26.60 %, Temp: 26.40 Celsius
15:10:34.292 -> Humidity: 26.60 %, Temp: 26.50 Celsius
15:10:36.287 -> Humidity: 26.50 %, Temp: 26.20 Celsius
15:10:38.277 -> Humidity: 26.70 %, Temp: 26.30 Celsius
15:10:40.317 -> Humidity: 25.70 %, Temp: 26.60 Celsius
15:10:42.314 -> Humidity: 25.70 %, Temp: 26.70 Celsius
15:10:44.307 -> Humidity: 25.50 %, Temp: 27.80 Celsius
15:10:46.343 -> Humidity: 25.60 %, Temp: 26.40 Celsius
15:10:48.340 -> Humidity: 24.50 %, Temp: 26.30 Celsius
15:10:50.345 -> Humidity: 24.40 %, Temp: 26.40 Celsius
15:10:52.387 -> Humidity: 24.30 %, Temp: 26.50 Celsius
15:10:54.376 -> Humidity: 24.20 %, Temp: 26.30 Celsius
15:10:56.371 -> Humidity: 24.20 %, Temp: 26.40 Celsius
15:10:58.415 -> Humidity: 24.20 %, Temp: 26.50 Celsius
15:11:00.422 -> Humidity: 23.20 %, Temp: 26.60 Celsius
15:11:02.419 -> Humidity: 23.20 %, Temp: 26.70 Celsius
15:11:04.414 -> Humidity: 22.20 %, Temp: 26.80 Celsius
15:11:06.455 -> Humidity: 23.20 %, Temp: 26.10 Celsius
15:11:08.446 -> Humidity: 23.10 %, Temp: 26.20 Celsius
15:11:10.450 -> Humidity: 23.10 %, Temp: 27.30 Celsius
15:11:12.447 -> Humidity: 23.10 %, Temp: 26.50 Celsius
15:11:14.495 -> Humidity: 23.10 %, Temp: 27.70 Celsius
15:11:16.482 -> Humidity: 23.10 %, Temp: 26.50 Celsius
15:11:18.484 -> Humidity: 23.20 %, Temp: 27.60 Celsius
15:11:20.486 -> Humidity: 23.20 %, Temp: 26.90 Celsius
15:11:22.522 -> Humidity: 23.40 %, Temp: 27.50 Celsius
15:11:24.518 -> Humidity: 23.30 %, Temp: 27.60 Celsius
15:11:26.519 -> Humidity: 23.20 %, Temp: 26.70 Celsius
15:11:28.554 -> Humidity: 23.40 %, Temp: 26.80 Celsius
15:11:30.550 -> Humidity: 23.30 %, Temp: 26.90 Celsius
15:11:32.550 -> Humidity: 23.30 %, Temp: 27.30 Celsius
15:11:34.593 -> Humidity: 23.30 %, Temp: 27.40 Celsius
15:11:36.608 -> Humidity: 23.40 %, Temp: 28.50 Celsius
15:11:38.617 -> Humidity: 24.40 %, Temp: 27.70 Celsius
15:11:40.622 -> Humidity: 23.30 %, Temp: 25.20 Celsius
15:11:42.611 -> Humidity: 23.50 %, Temp: 26.30 Celsius
15:11:44.614 -> Humidity: 23.50 %, Temp: 26.70 Celsius
15:11:46.617 -> Humidity: 23.20 %, Temp: 26.50 Celsius
15:11:48.653 -> Humidity: 23.40 %, Temp: 26.40 Celsius
15:11:50.648 -> Humidity: 23.40 %, Temp: 26.50 Celsius
15:11:52.690 -> Humidity: 23.40 %, Temp: 26.30 Celsius
15:11:54.689 -> Humidity: 22.40 %, Temp: 26.30 Celsius
15:11:56.689 -> Humidity: 21.30 %, Temp: 25.40 Celsius
15:11:58.694 -> Humidity: 20.20 %, Temp: 26.70 Celsius
15:12:00.703 -> Humidity: 20.30 %, Temp: 26.90 Celsius
